"name","organization","url","description","img","apple_url","google_url"
"MyFamily","LyfeChannel","http://lyfechannel.com/","Lyfechannel helps patients build the dietary, physical activity and prescription drug adherence habits to meet their chronic disease demands",,,
"Myphr.com","AHIMA","http://myphr.com/","Visit AHIMA’s PHR website, myphr.com, to learn more about owning your health information. Here you will find information on how to create a PHR, resources on health literacy, and helpful links, such as PHR news stories, a PHR video library, and a medical identity theft response checklist.",,,
"MyQuest by Care360","Quest Diagnostics","https://myquest.questdiagnostics.com","MyQuest allows you to get your Quest Diagnostics lab test results sent directly to your account and is accessible from your mobile or Web-enabled device. MyQuest also allows you to view, store, and share other vital health information. Life is complicated. Managing your health shouldn't be.",,"https://itunes.apple.com/us/app/myquest/id748920931?ls=1&mt=8","https://play.google.com/store/apps/details?id=com.myquest"
"Navigating Cancer","Navigating Cancer","https://www.navigatingcancer.com/survivors","Empowering cancer survivors and healthcare professionals to improve the quality and efficiency of care.",,,
"NoMoreClipboard","NoMoreClipboard","http://www.nomoreclipboard.com/","Securely organize, update, access and share medical information online. Free NoMoreClipboard Personal Health Records are Better. Managed.",,,
"Patient Gateway","Mana Health","http://mana-health.com/","Liberating your health record. Now you can easily understand and manage your total health.",,,
"Prime","Prime","http://stayinyourprime.com/","Prime lets you automatically get your health records from any doctor and allows you to easily access and use your personal health info anywhere you go.",,"https://itunes.apple.com/us/app/prime/id699009998",""
"RelayHealth","McKesson Connected Care","http://www.relayhealth.com","RelayHealth is a pioneer in supporting patient access to health information and enabling seamless patient centered interoperability across disparate vendor platforms. RelayHealth was an early BlueButton innovator and winner of VA's BlueButton for all Americans contest.",,,
"Swellbox","Swellbox","https://www.swellbox.com","Swellbox brings your health information together.",,"https://itunes.apple.com/us/artist/swellbox-inc./id805887898",""
"Well","davinci.io","http://iwantwell.com","Well collects all of your health records and places it in a single App.  With your health data in a single App, it's easy to understand and manage your health with actions based on the data you are collecting!",,"https://itunes.apple.com/us/app/well-your-familys-health-simplified/id906525839","https://play.google.com/store/apps/details?id=com.idapps.well"
"WellnessFX","WellnessFX","http://www.wellnessfx.com/?utm_source=blue_button&utm_medium=website","Own your personal health data - all your historical lab data displayed beautifully and simply, with the click of a button.",,"https://itunes.apple.com/us/app/wellnessfx/id523680504",""
"Empower","Influence Health","http://www.influencehealth.com/population-health-solutions/enterprise-patient-portal","Empower is selected by many prestigious, patient-centered provider organizations for its innovative patient engagement capabilities and comprehensive collaborative health record.","https://www.dropbox.com/s/29snwzdttlq0b6x/IH_Logo_RGB_Small.jpg?dl=1",,
