"organization","category","description","url","states","view","download","transmit"
"Aiken Regional Medical Centers","hospital","","https://cernerhealth.com/oauth/re-authenticate?client_id=7eab1f5d0ea54882b73c090c7572c272&redirect_uri=https://east.uhspatientportal.com/login/cerner-health/authenticated&sign_in_only=on","SC","y","y","y"
"Akron Children's Hospital","hospital","","https://www.akronchildrens.org/cms/your_visit/index.html","OH","y","y","y"
"Akron General Medical Center","hospital","","https://app.relayhealth.com/","OH","y","y","y"
"Akron Nephrology Associates","provider","","https://www.followmyhealth.com/","","y","y",""
"Alamance Regional Psychiatric Associates","provider","","https://www.followmyhealth.com/","","y","y",""
"Alameda County Medical Center","hospital","","http://www.alamedahealthsystem.org/patients-visitors","CA","y","y","y"
"Alan J Appley MD","provider","","https://www.followmyhealth.com/","","y","y",""
"Alan N. Oki, M.D., Inc.","provider","","https://www.followmyhealth.com/","","y","y",""
"Albany Medical Center","hospital","","http://www.amc.edu/myalbanymed/","NY","y","y","y"
"Albemarle Medical Clinic","provider","","https://www.followmyhealth.com/","","y","y",""
"Alegent Creighton Health Bergan Mercy Medical Center","hospital","","http://www.chihealth.com/chi-health-bergan-mercy","NE","y","",""
"Alegent Creighton Health Community Memorial Hospital","hospital","","http://www.chihealth.com/chi-health-mychart","IA","y","y",""
"Alegent Creighton Health Immanuel Medical Center","hospital","","http://www.chihealth.com/chi-health-mychart","NE","y","",""
"Alegent Creighton Health Lakeside Hospital","hospital","","http://www.chihealth.com/chi-health-lakeside","NE","y","",""
"Alegent Creighton Health Mercy Hospital","hospital","","https://epicmc.myalegent.com/mychart-prd/default.asp","IA","y","",""
"Alegent Creighton Health Midlands Hospital","hospital","","http://www.chihealth.com/chi-health-mychart#utm_source=BPtoplink&utm_medium=link&utm_campaign=myChart","NE","y","",""
"Alexandria Primary Care","provider","","https://www.followmyhealth.com/","","y","y",""
"Alexian Brothers Medical Center","hospital","","https://380-1.portal.athenahealth.com/","IL","y","y","y"
"Alfred I. duPont Hospital for Children","hospital","","https://mynemours.nemours.org/MyNemours/","DE","y","y","y"
"Alhambra Hospital Medical Center","hospital","","https://app.relayhealth.com/","CA","y","y","y"
"Alice Hyde Medical Center","hospital","","http://alicehyde.com/About/MyHealthEView.asp","NY","y","y","y"
"Allegan General Hospital","hospital","","https://www.aghosp.org/patients_visitors/patient_portal.aspx","MI","y","y",""
"Allegheny General Hospital","hospital","","https://www.ahn.org/patients-visitors-information/mychart","PA","","",""
"Allegiance Health","hospital","","http://www.allegiancehealth.org/patient-guide","MI","y","y",""
"Allen County Regional Hospital","hospital","","https://cernerhealth.com/oauth/re-authenticate?client_id=d11811ce38f94df9b30bdd3047241c23&redirect_uri=https://allencountyhospital.iqhealth.com/login/cerner-health/authenticated&sign_in_only=on","KS","y","y",""
"Alpena Regional Medical Center","hospital","","http://www.alpenaregionalmedicalcenter.org/Main/PatientPortals.aspx?srcaud=Main","MI","y","y","y"
"ALT Hawaiian Dreams Clinic","provider","","https://www.followmyhealth.com/","","y","y",""
"Alta Bates Summit Medical Center","hospital","","https://myhealthonline.sutterhealth.org/mho/default.asp?mode=stdfile&option=enroll","CA","y","",""
"Alta Bates Summit Medical Center - Summit Campus","hospital","","http://www.altabatessummit.org/patientsandvisitors/index.html","CA","y","",""
"Alta View Hospital","hospital","","https://intermountainhealthcare.org/locations/alta-view-hospital/","UT","y","y","y"
"Altius Health Plans","insurance","From individuals and families to businesses of all sizes, we've got you covered in Utah, Wyoming, and Idaho with a wide range of products and services, including plans for Medicare beneficiaries.","https://member.cvty.com/memberPortalWeb/appmanager/memberPortal/member","","y","",""
"Alton Memorial Hospital","hospital","","http://www.altonmemorialhospital.org/Patients-Visitors","IL","y","",""
"Altru Health System","hospital","","http://www.altru.org/","ND","y","y","y"
"Alvarado Hospital Medical Center","hospital","","http://www.alvaradohospital.com/Programs-and-Services/Patient-Portal.aspx","CA","y","y",""
"AMDC Physicians","provider","","https://www.followmyhealth.com/","","y","y",""
"American Heart Center PC","provider","","https://www.followmyhealth.com/","","y","y",""
"Amery Regional Medical Center","hospital","","https://www.healthpartners.com/amery/","WI","y","y","y"
"Amity Medical Associates","provider","","https://www.followmyhealth.com/","","y","y",""
"Anderson County Hospital","hospital","","https://mysaintlukes.corp.saint-lukes.org/MyChartPRD/","KS","y","y",""
"Anderson Hospital","hospital","","http://www.andersonhospital.org/","IL","y","y","y"
"Androscoggin Valley Hospital","hospital","","http://www.avhnh.org/myhealthrecords","NH","y","y","y"
"Ankle and Foot Center","provider","","https://www.followmyhealth.com/","","y","y",""
"AnMed Health Medical Center","hospital","","http://www.anmedhealth.org/home/patient-portal.aspx","SC","y","y","y"
"Ann & Robert H. Lurie Children's Hospital of Chicago","hospital","","https://mychart.luriechildrens.org/MyChart/","IL","y","",""
"Anna Jaques Hospital","hospital","","http://myajhrecord.ajh.org/","MA","y","y","y"
"Anne Arundel Medical Center","hospital","","http://www.aahs.org/","MD","y","y","y"
"Annie Jeffrey Memorial County Health Center","hospital","","http://www.ajhc.org/","NE","y","y","y"
"Anniston Medical Clinic","provider","","https://www.followmyhealth.com/","","y","y",""
"Anthem Blue Cross","insurance","At Anthem Blue Cross we understand our health connects us to each other. What we all do impacts those around us. So Anthem is dedicated to delivering better care to our members, providing greater value to our customers and helping improve the health of our communities.","https://www.anthem.com/","CA,CO,CT,GA,IN,KY,ME,MO,NH,NV,NY,OH,VA,WI","y","y","y"
"Anthony Decotis MD","provider","","https://www.followmyhealth.com/","","y","y",""
"Anthony Medical Center","hospital","","https://anthonymedicalcenterks.iqhealth.com/","KS","y","y","y"
"Appalachian Regional Healthcare System","provider","","https://www.followmyhealth.com/","","y","y",""
"Appleton Area Health Services","hospital","","https://appletonareahealth.intelichart.com/PatientPortal/account/login?ReturnUrl=%2fPatientPortal%2f","MN","y","y","y"
"Appleton Medical Center","hospital","","https://my.thedacare.org/MyChart/default.asp","WI","y","y","y"
"APPRHS (Acute)","provider","","https://www.followmyhealth.com/","","y","y",""
"APWU Health Plan","insurance","The American Postal Workers Union (APWU) Health Plan is a National Preferred Provider Organization (PPO) that offers both a fee-for-service High Option plan and a Consumer Driven Option Health Plan.","https://eh.apwuhp.com/eHEALTHsuiteWeb/","","y","",""
"Arbor Family Medicine","provider","","https://www.followmyhealth.com/","","y","y",""
"Aria Health","hospital","","https://www.ariahealth.org/for-patients-guests","PA","y","y","y"
"Arise Austin Medical Center","hospital","","https://arisemedicalcenter.simpleadmit.com/Welcome.aspx","TX","y","y",""
"Arizona Community Physicians","provider","","https://www.followmyhealth.com/","","y","y",""
"Arkansas Children's Hospital","hospital","","http://www.archildrens.org/","AR","y","y","y"
"ARMC, Part of Cone Health","provider","","https://www.followmyhealth.com/","","y","y",""
"Arnot Health","provider","","https://www.followmyhealth.com/","","y","y",""
"Arnot Ogden Medical Center","provider","","https://www.followmyhealth.com/","","y","y",""
"Arrowhead Regional Medical Center","hospital","","https://www.arrowheadmedcenter.org/pvMedicalRecords.aspx","CA","","",""
"Artesia General Hospital","hospital","","https://www.mymedicalencounters.com/","NM","y","",""
"Arthritis &amp; Pain Assoc Of Pg County","provider","","https://www.followmyhealth.com/","","y","y",""
"Arthritis Center of North Georgia","provider","","https://www.followmyhealth.com/","","y","y",""
"Arthritis Health","provider","","https://www.followmyhealth.com/","","y","y",""
"Asante Ashland Community Hospital","hospital","","http://www.asante.org/mychart/","OR","y","y",""
"Asante Rogue Regional Medical Center","hospital","","http://www.asante.org/mychart/","OR","y","y",""
"Asante Three Rivers Medical Center","hospital","","http://www.asante.org/mychart/","OR","y","y",""
"Asheville Neurology Specialists","provider","","https://www.followmyhealth.com/","","y","y",""
"Asheville Pediatrics","provider","","https://www.followmyhealth.com/","","y","y",""
"Asheville Pulmonary &amp; Critical Care Associates","provider","","https://www.followmyhealth.com/","","y","y",""
"Ashfaq Kudia MD","provider","","https://www.followmyhealth.com/","","y","y",""
"Ashley County Medical Center","hospital","","http://www.acmconline.org/patient-portals.html","AR","y","y","y"
"ASIM &amp; Peds","provider","","https://www.followmyhealth.com/","","y","y",""
"Aspirus Grand View","provider","MyAspirus is a portal to personal health information, currently available to patients of participating Aspirus Clinics. Contact your Aspirus Clinic for more information.","https://myaspirus.org/MyChart","WI","y","",""
"Aspirus Grand View Hospital","hospital","","https://myaspirus.org/MyChart/","MI","y","","y"
"Aspirus Medford Hospital","hospital","","https://myaspirus.org/MyChart/default.asp","WI","y","y","y"
"Aspirus Wausau Hospital","hospital","","https://myaspirus.org/MyChart/default.asp","WI","y","","y"
"Associated Cardiovascular Physicians","provider","","https://www.followmyhealth.com/","","y","y",""
"Associated Internists of Ahwatukee","provider","","https://www.followmyhealth.com/","","y","y",""
"Associated Neurologists","provider","","https://www.followmyhealth.com/","","y","y",""
"Associates in Dermatology of Traverse City","provider","","https://www.followmyhealth.com/","","y","y",""
"Associates in Family Medicine","provider","","https://www.followmyhealth.com/","","y","y",""
"Associates in Gastroenterology","provider","","https://www.followmyhealth.com/","","y","y",""
"Associates in Orthopedics and Sports Medicine","provider","","https://www.followmyhealth.com/","","y","y",""
"Associates in Pediatric Neurology","provider","","https://www.followmyhealth.com/","","y","y",""
"Associates In Women's Health","provider","","https://www.followmyhealth.com/","","y","y",""
"AST Health Systems","provider","","https://www.followmyhealth.com/","","y","y",""
"Atchison Hospital","hospital","","https://myatchisonhealth.org/Phm-PhmHome.HomePage.WR.mthr?hcis=ATHWEB.LIVE&application=phm","KS","","",""
"Athens Pulmonary and Sleep Medicine","provider","","https://www.followmyhealth.com/","","y","y",""
"Athens Spine Center","provider","","https://www.followmyhealth.com/","","y","y",""
"Atlanta Inst. For Ent &amp; Facial","provider","","https://www.followmyhealth.com/","","y","y",""
"Atlanta Women's Specialists","provider","","https://www.followmyhealth.com/","","y","y",""
"Atlantic Adult and Pediatric Medicine","provider","","https://www.followmyhealth.com/","","y","y",""
"Atlantic General Hospital","hospital","","https://atlanticgeneral.followmyhealth.com/Login/Home/Index?authproviders=0&returnArea=PatientAccess#/Index","MD","y","y","y"
"Atlantic General Hospital and Health System","hospital","","https://www.followmyhealth.com/","","y","y",""
"Atlantic Orthopaedic Specialists","provider","","https://www.followmyhealth.com/","","y","y",""
"AtlantiCare Regional Medical Center","hospital","","http://www.atlanticare.org/index.php/requesting-medical-records","NJ","y","y","y"
"Atmore Community Hospital","hospital","","https://www.infirmaryhealth.org/patients","AL","y","y",""
"Atrium Medical Center","hospital","","https://www.atriummedcenter.org/Patient-and-Visitor-Information/Medical-Records/","OH","y","y",""
"Auburn Community Hospital","hospital","","http://www.auburnhospital.org/","NY","y","y","y"
"AUC of NY &amp; ACRSC of NY","provider","","https://www.followmyhealth.com/","","y","y",""
"Audrain Medical Center","hospital","","http://www.ssmhealthmidmo.com/patients-visitors","MO","","",""
"Augusta Health","hospital","","http://www.augustahealth.com/chart","VA","y","y","y"
"Augusta Lung Associates","provider","","https://www.followmyhealth.com/","","y","y",""
"Aultman - Edgar Delacruz","provider","","https://www.followmyhealth.com/","","y","y",""
"Aultman Family Medicine","provider","","https://www.followmyhealth.com/","","y","y",""
"Aultman Hospital","hospital","","http://myaultman.iqhealth.com/","OH","y","y","y"
"Aultman Orrville Hospital","hospital","","http://aultmanorrville.org/Patient-Information/resources/patient-rights","OH","y","y","y"
"Aultman - Tuscarawas County OB/GYN","provider","","https://www.followmyhealth.com/","","y","y",""
"Aurelia Osborn Fox Memorial Hospital","hospital","","http://www.bassett.org/ao-fox-hospital/","NY","y","","y"
"Aurora Lakeland Medical Center","hospital","","https://my.aurorahealthcare.org/myAurora/","WI","y","y",""
"Aurora Memorial Hospital of Burlington","hospital","","https://www.aurorahealthcare.org/patients-visitors","WI","y","y",""
"Aurora St. Luke's Medical Center","hospital","","http://www.aurorastlukes.org/patients","WI","y","y","y"
"Autumn Road Family Practice PA","provider","","https://www.followmyhealth.com/","","y","y",""
"Aventura Hospital and Medical Center","hospital","","http://aventurahospital.com/patient-portal/index.dot","FL","y","y","y"
"Aventyn, Inc.","hie","Aventyn is an award winning health technology company delivering innovative, standards based secure core to cloud connected clinical information solutions and services to lower health care delivery costs, improve quality and increase patient safety. The company provides solutions in personalized patient monitoring, secure health information exchange, medical imaging and clinical analytics.","http://www.aventyn.com","AZ,CA","y","y","y"
"Avera Creighton Hospital","hospital","","http://www.avera.org/creighton/","NE","y","y","y"
"Avera De Smet Memorial Hospital","hospital","","http://www.avera.org/de-smet/patients-visitors/","SD","y","y","y"
"Avera Holy Family Hospital","hospital","","http://www.avera.org/averachart/","IA","y","y","y"
"Avera Marshall Regional Medical Center","hospital","","http://www.avera.org/marshall/patients-visitors/","MN","y","y","y"
"Avera Medical Group Pierre","provider","","https://www.followmyhealth.com/","","y","y",""
"Avera Queen of Peace Hospital","hospital","","http://www.avera.org/queen-of-peace/","SD","y","y","y"
"Avera Sacred Heart Hospital","hospital","","http://www.avera.org/averachart/","SD","y","y","y"
"Avera St. Anthony's Hospital","hospital","","http://www.avera.org/averachart/","NE","y","y","y"
"Avera St. Luke's Hospital","hospital","","http://www.avera.org/averachart/","SD","y","y","y"
"Avera Weskota Memorial Hospital","hospital","","http://www.avera.org/averachart/","SD","y","y","y"
"Avista Adventist Hospital","hospital","","http://www.avistahospital.org/login.aspx","CO","y","y","y"
"AvMed Health Plans, Inc.","insurance","AvMed began in South Florida as Aviation Medicine, to serve the growing airline industry by providing pilots’ physicals. Today, AvMed serves 300,000 Floridians with a superior network of doctors, specialists and hospitals and award-winning service","https://www.avmed.org/IndividualMembers/index.aspx","","y","",""
"Avoyelles Hospital","hospital","","http://www.avoyelleshospital.com/avoyelles-patient-resources.php","LA","y","y","y"
"Azalea Orthopedics","provider","","https://www.followmyhealth.com/","","y","y",""
"Backus Hospital","provider","Backus Hospital has provided quality health care to the residents of Eastern Connecticut since 1893. The Backus Health System includes a not-for-profit, 213-bed hospital in Norwich and numerous off-site locations, including several health centers, Backus Home Health Care and the Backus Outpatient Care Center, also in Norwich.","https://backushospital.org/portal/","CT","y","y",""
"Bacon County Community Care","provider","","https://www.followmyhealth.com/","","y","y",""
"Bacon County Hospital and Health System","hospital","","https://mybchportal.dellhc.com/Phm-PhmPage.HomePage.WR.mthr?application=phm&hcis=BNC.LIVEF","GA","y","y",""
"Balboa Medical Group","provider","","https://www.followmyhealth.com/","","y","y",""
"Baldwin Area Medical Center","hospital","","https://account.allinahealth.org/dashboard/index","WI","y","y","y"
"Ballinger Memorial Hospital","hospital","","http://www.ballingerhospital.org/","TX","y","",""
"Banner Baywood Medical Center","hospital","","https://patient.bannerhealth.com/login.aspx?rd=mybanner","AZ","y","y",""
"Banner Boswell Medical Center","hospital","","https://www.bannerhealth.com/_Patients+and+Visitors/Medical+Records/_Medical+Records.htm","AZ","y","y",""
"Banner Casa Grande Medical Center","hospital","","https://patient.bannerhealth.com/login.aspx?rd=mybanner","AZ","y","y",""
"Banner Churchill Community Hospital","hospital","","https://patient.bannerhealth.com/login.aspx?rd=mybanner","NV","y","y",""
"Banner Del E. Webb Medical Center","hospital","","https://patient.bannerhealth.com/login.aspx?rd=mybanner","AZ","y","y",""
"Banner Desert Medical Center","hospital","","https://patient.bannerhealth.com/login.aspx?rd=mybanner","AZ","y","y",""
"Banner Estrella Medical Center","hospital","","http://www.bannerhealth.com/_Patients+and+Visitors/Medical+Records/_Medical+Records.htm","AZ","y","y",""
"Banner Gateway Medical Center","hospital","","https://patient.bannerhealth.com/login.aspx?rd=mybanner","AZ","y","y",""
"Banner Goldfield Medical Center","hospital","","https://patient.bannerhealth.com/login.aspx?rd=mybanner","AZ","y","y",""
"Banner Good Samaritan Medical Center","hospital","","https://www.bannerhealth.com/_Patients+and+Visitors/Medical+Records/_Medical+Records.htm","AZ","y","y",""
"Banner Ironwood Medical Center","hospital","","https://www.bannerhealth.com/Locations/Arizona/Banner+Ironwood/Patients+and+Visitors/_Guest+Services.htm","AZ","y","y",""
"Banner Lassen Medical Center","hospital","","https://patient.bannerhealth.com/login.aspx?rd=mybanner","CA","y","y",""
"Banner Thunderbird Medical Center","hospital","","https://patient.bannerhealth.com/login.aspx?rd=mybanner","AZ","y","y",""
"Baptist Easley Hospital","hospital","","https://www.baptisteasley.org/be_healthy/myhealth_patient_portal","SC","y","y","y"
"Baptist Health","provider","At Baptist Health, we believe caring for patients is a healing ministry. We seek to improve the health of Arkansans by changing the way healthcare is delivered and by responding to our community's health needs with Christian compassion.","https://mychart.baptist-health.org","KY","y","y",""
"Baptist Health Corbin","hospital","","https://www.baptisthealthkentucky.com/healthrecord/","KY","y","y","y"
"Baptist Health La Grange","hospital","","https://www.baptisthealthkentucky.com/healthrecord/","KY","y","y","y"
"Baptist Health Paducah","hospital","","https://www.baptisthealthkentucky.com/paducah/patients-visitors/index.html","KY","y","",""
"Baptist Hospitals of Southeast Texas","hospital","","https://bhset.yourcarecommunity.com","TX","y","y","y"
"Baptist Medical Center Beaches","hospital","","http://www.baptistjax.com/patient-info/medical-records","FL","y","y",""
"Baptist Medical Center East","hospital","","http://patient.baptistgateway.org/","AL","y","y","y"
"Baptist Medical Center Jacksonville","hospital","","http://www.baptistjax.com/locations/baptist-medical-center-jacksonville","FL","y","y","y"
"Baptist Medical Center Nassau","hospital","","http://www.baptistjax.com/patient-info/medical-records","FL","y","y",""
"Baptist Medical Center South","hospital","","http://www.baptistjax.com/patient-info/medical-records","AL","y","y","y"
"Baptist Orange Hospital","hospital","","http://www.bhset.net/Interactive-Health-Center/Online-Patient-Portal.aspx","TX","y","y","y"
"Baptist St. Anthony Health System","hospital","","https://www.bsahs.org/healthconnect","TX","y","y","y"
"Barnes-Jewish Hospital","hospital","","http://www.barnesjewish.org/patients-visitors/medical-records","MO","y","",""
"Barnes-Jewish St. Peters Hospital","hospital","","http://www.bjsph.org/patients-visitors","MO","y","y",""
"Barnes-Jewish West County Hospital","hospital","","http://www.barnesjewishwestcounty.org/Patient-Visitor-Information/Medical-Records","MO","y","y","y"
"Barrett Hospital & HealthCare","hospital","","https://mychartwa.providence.org/MyChart/","MT","y","y",""
"Bart Gershbein, MD","provider","","https://www.followmyhealth.com/","","y","y",""
"Bartlett Regional Hospital","hospital","","https://www.bartletthospital.org/patients-visitors/medical-records.aspx","AK","","",""
"Barton County Memorial Hospital","hospital","","http://www.bcmh.net/","MO","y","",""
"Barton Memorial Hospital","hospital","","http://www.bartonhealth.org/tahoe/mychart.aspx","CA","y","y","y"
"Basin Family Care- Rhonda White, RN-FNP","provider","","https://www.followmyhealth.com/","","y","y",""
"Bass River Pediatrics","provider","","https://www.followmyhealth.com/","","y","y",""
"Bassett Medical Center","hospital","","http://www.bassett.org/bassett-medical-center/","NY","y","y","y"
"Bates County Memorial Hospital","hospital","","http://www.bcmhospital.com/","MO","y","y","y"
"Bath Community Hospital","hospital","","http://www.bathhospital.org/","VA","y","y","y"
"Baum Harmon Mercy Hospital","hospital","","http://www.mercysiouxcity.com/mymercy","IA","y","y","y"
"Baxter Regional Medical Center","hospital","","https://cernerhealth.com/oauth/authenticate?client_id=c661f85c365f4f5a88798e85b87a7a50&redirect_uri=https://baxterregional.iqhealth.com/login/cerner-health/authenticated&sign_in_only=on","AR","y","y","y"
"Bay Area Hospital","hospital","","https://www.mycarecoast.org/BayAreaMed/paLogon.aspx","OR","y","y","y"
"Bay Pediatric Clinic P.C","provider","","https://www.followmyhealth.com/","","y","y",""
"Bayfront Health St. Petersburg","hospital","","http://www.bayfrontstpete.com/patients-and-visitors","FL","y","y","y"
"Baylor Medical Center at Carrollton","hospital","","https://baylorhealth.followmyhealth.com/Login/Home/Index?authproviders=0&returnArea=PatientAccess#/Index","TX","y","y","y"
"Baylor Medical Center at Garland","hospital","","https://baylorhealth.followmyhealth.com/Login/Home/Index?authproviders=0&returnArea=PatientAccess#/Index","TX","y","","y"
"Baylor Medical Center at Irving","hospital","","http://www.baylorhealth.com/PatientsVisitors/FollowMyHealth/Pages/Default.aspx?cmpid=r_FollowMyHealth","TX","y","",""
"Bayshore Community Hospital","hospital","","http://www.mymeridianhealth.com/","NJ","y","y","y"
"Bayshore Medical Center","hospital","","http://bayshoremedical.com/manage-your-account/medical-records.dot","TX","y","y","y"
"Bayside Family &amp; Sports Medicine","provider","","https://www.followmyhealth.com/","","y","y",""
"Baystate Franklin Medical Center","hospital","","http://www.baystatehealth.org/patients","MA","y","y","y"
"Baystate Mary Lane Hospital","hospital","","http://www.baystatehealth.org/patients/medical-records","MA","y","y","y"
"Baystate Medical Center","hospital","","https://my.baystatehealth.org/myhealth/HSPortal.Public.UI.Home.zen","MA","y","y","y"
"Beartooth Billings Clinic","hospital","","http://www.beartoothbillingsclinic.org/MyMedicalRecord.aspx","MT","y","y",""
"Beatrice Community Hospital and Health Center","hospital","","http://www.beatricecommunityhospital.com/","NE","y","y","y"
"Beaufort Memorial Hospital","hospital","","http://www.bmhsc.org/","SC","y","y","y"
"Beaumont Hospital Grosse Pointe","hospital","","https://www.mybeaumontchart.com/mychart/","MI","y","y",""
"Beaumont Hospital - Royal Oak","hospital","","https://www.mybeaumontchart.com/mychart/","MI","y","",""
"Beaumont Hospital - Troy","hospital","","http://www.beaumont.edu/patients-visitors/medical-records-films/","MI","y","y",""
"Becker Family Medicine","provider","","https://www.followmyhealth.com/","","y","y",""
"Beckley ARH Hospital","hospital","","http://www.arh.org/locations/beckley.aspx","WV","","",""
"Bedford Commons OB GYN","provider","","https://www.followmyhealth.com/","","y","y",""
"Beebe Healthcare","hospital","","https://6835.portal.athenahealth.com/","DE","y","y",""
"Bell Hospital","hospital","","http://www.bellhospital.org/patientinfo.php","MI","y","y","y"
"Bellevue Hospital","hospital","","http://www.bellevuehospital.com/Patient%20Information/Portal/Default.asp","OH","y","y",""
"Bellevue Hospital Center","hospital","","http://www.bellevuehospital.com/Patient%20Information/Portal/Default.asp","NY","y","y",""
"Bellin Memorial Hospital","hospital","","https://www.bellin.org/patients_visitors/patient-information","WI","y","y",""
"Bellville St. Joseph Health Center","hospital","","https://cernerhealth.com/oauth/re-authenticate?client_id=bbe4fde6f09a4ce791154ea64c5a79be&redirect_uri=https://bellvillehospital.iqhealth.com/login/cerner-health/authenticated&sign_in_only=on","TX","y","y","y"
"Beloit Health System","hospital","","https://myhealth.iqhealth.com/","WI","y","","y"
"Belton Regional Medical Center","hospital","","http://beltonregionalmedicalcenter.com/patient-portal/","MO","","",""
"Benefis Hospitals","hospital","","http://www.benefis.org/","MT","y","y","y"
"Benewah Community Hospital","hospital","","https://www.nidhealth.org/Phm-PhmPage.HomePage.WR.mthr?application=phm&hcis=KOM.LIVEF","ID","y","y",""
